日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2019-05-09,优,23,5,10,19,4,35,0.73,28
2019-05-10,优,46,65,23,47,6,46,0.86,38
2019-05-11,良,98,311,43,80,8,58,1.02,105
2019-05-12,良,78,178,26,53,7,44,0.80,94
2019-05-13,良,57,121,23,51,7,46,0.73,58
2019-05-14,良,53,106,21,40,5,33,0.64,62
2019-05-15,优,38,51,18,36,5,32,0.64,32
2019-05-16,优,45,96,21,44,5,28,0.66,44
2019-05-17,优,45,110,22,44,5,31,0.70,42
2019-05-18,优,48,133,22,42,4,27,0.66,58
2019-05-19,优,47,125,19,42,4,23,0.61,62
2019-05-20,优,38,38,13,28,4,24,0.64,62
2019-05-21,良,54,106,35,57,5,33,0.73,62
2019-05-22,良,61,135,30,54,5,40,0.75,84
2019-05-23,优,38,23,23,35,4,44,0.89,37
2019-05-24,优,46,36,24,41,4,36,0.74,65
2019-05-25,优,36,31,18,34,4,33,0.63,47
2019-05-26,优,27,18,10,19,4,30,0.58,44
2019-05-27,优,29,27,11,23,5,36,0.61,45
2019-05-28,优,31,30,14,27,4,45,0.69,39
2019-05-29,优,25,10,15,24,4,39,0.76,28
2019-05-30,优,34,47,20,33,4,40,0.66,55
2019-05-31,优,43,109,21,40,5,45,0.69,37
2019-06-01,优,37,70,19,30,4,41,0.76,37
2019-06-02,优,25,12,11,20,4,34,0.66,28
2019-06-03,优,37,47,17,30,5,35,0.70,55
2019-06-04,优,40,41,17,33,5,39,0.73,45
2019-06-05,优,31,25,17,30,5,38,0.77,19
2019-06-06,优,27,19,13,25,5,32,0.63,27
2019-06-07,优,29,31,10,22,5,22,0.53,40
2019-06-08,优,26,30,7,20,4,17,0.48,44
2019-06-09,优,27,36,8,23,4,17,0.47,41
2019-06-10,优,29,41,10,24,4,25,0.54,38
2019-06-11,优,27,30,14,23,4,52,0.70,12
2019-06-14,优,38,173,21,36,5,34,0.78,104
2019-06-15,良,53,232,20,35,5,34,0.70,110
2019-06-17,优,43,197,20,39,6,30,0.70,91
2019-06-18,优,19,26,9,18,4,35,0.66,33
2019-06-19,优,28,89,14,27,4,39,0.70,40
2019-06-20,优,27,105,11,27,5,27,0.65,38
2019-06-25,优,47,171,23,33,4,46,0.82,66
2019-06-26,优,33,68,18,31,4,48,0.81,37
2019-06-27,优,44,129,17,34,4,37,0.74,52
2019-06-28,优,47,184,15,33,4,28,0.64,64
2019-06-29,优,48,204,15,34,4,25,0.61,70
2019-06-30,良,52,230,21,39,4,33,0.69,65
2019-07-01,优,48,163,19,36,5,34,0.68,60
2019-07-02,优,34,57,12,26,4,25,0.58,46
2019-07-03,优,23,15,8,18,4,26,0.59,34
2019-07-04,优,26,36,10,22,4,27,0.59,32
2019-07-05,优,35,105,11,28,4,24,0.54,48
2019-07-06,优,38,114,14,32,4,22,0.53,57
2019-07-07,优,34,85,13,30,4,18,0.52,53
2019-07-12,优,34,129,17,34,5,32,0.66,32
2019-07-13,优,40,205,19,40,4,21,0.55,58
2019-07-14,优,39,170,20,39,4,22,0.60,55
2019-07-15,优,46,217,23,46,4,28,0.64,60
2019-07-16,良,62,300,28,52,5,28,0.64,98
2019-07-17,良,71,343,39,68,8,39,0.76,95
2019-07-18,良,56,310,35,62,8,40,0.77,63
2019-07-19,优,48,279,29,54,7,48,0.83,38
2019-07-20,优,45,243,24,40,6,45,0.82,51
2019-07-21,优,34,114,18,33,5,39,0.74,31
2019-07-22,优,40,189,20,39,6,45,0.79,37
2019-07-23,优,32,141,18,32,5,44,0.76,31
2019-07-24,优,33,137,16,33,5,39,0.69,24
2019-07-25,优,34,148,15,32,5,34,0.65,35
2019-07-26,优,35,142,16,32,5,26,0.60,60
2019-08-06,优,49,242,21,42,6,38,0.68,70
2019-08-07,良,80,356,26,45,5,41,0.68,106
2019-08-08,良,60,306,23,42,6,37,0.67,79
2019-08-09,良,61,307,28,52,7,34,0.68,80
2019-08-10,良,71,351,35,58,8,34,0.74,82
2019-08-11,良,57,307,30,48,6,25,0.70,78
2019-08-21,良,66,327,32,56,6,37,0.77,114
2019-08-22,良,73,334,33,57,6,43,0.83,115
2019-08-23,良,51,190,31,54,8,49,0.85,58
2019-08-24,良,64,265,44,72,8,48,0.93,73
2019-08-25,良,53,233,37,58,7,37,0.89,58
2019-08-26,优,25,40,14,22,4,31,0.74,48
2019-08-27,优,29,117,13,28,6,34,0.72,32
2019-08-28,优,44,247,22,44,6,36,0.76,56
2019-09-01,优,22,21,11,20,4,25,0.65,30
2019-09-02,优,15,7,7,15,4,22,0.61,19
2019-09-03,优,24,38,13,23,4,22,0.68,36
2019-09-04,优,25,42,16,25,4,27,0.66,34
2019-09-05,优,23,44,11,21,5,29,0.62,32
2019-09-06,优,36,132,14,32,5,32,0.64,53
2019-09-07,良,65,268,31,62,6,46,0.77,85
2019-09-08,良,69,238,40,67,6,38,0.87,108
2019-09-09,良,55,220,32,54,6,41,0.81,84
2019-09-10,优,45,212,19,38,6,35,0.63,79
2019-09-11,良,62,317,27,50,6,39,0.66,103
2019-09-12,良,66,332,31,51,5,43,0.73,117
2019-09-13,优,48,253,24,41,6,22,0.63,97
2019-09-14,优,34,166,18,35,6,32,0.69,54
2019-09-15,优,47,262,24,44,6,37,0.71,85
2019-09-16,优,43,209,23,40,6,42,0.80,68
2019-09-17,优,46,196,27,40,5,41,0.83,83
2019-09-18,良,51,243,32,52,6,41,0.89,82
2019-09-19,良,57,295,34,60,7,29,0.78,121
2019-09-20,良,56,254,29,59,9,48,0.73,98
2019-09-21,良,65,310,38,74,10,45,0.79,111
2019-09-22,良,54,251,25,55,8,32,0.67,119
2019-09-23,优,50,158,25,51,7,36,0.62,99
2019-09-24,良,61,214,31,61,8,50,0.70,97
2019-09-25,良,74,273,40,77,9,60,0.82,99
2019-09-26,良,86,338,49,89,9,65,0.92,122
2019-09-27,良,82,331,49,87,11,56,0.90,115
2019-09-28,良,82,284,50,83,10,60,0.90,114
2019-09-29,良,88,312,55,92,10,63,0.98,111
2019-09-30,良,81,283,50,88,12,67,0.99,110
2019-10-01,良,95,357,60,94,15,62,1.12,112
2019-10-02,良,91,362,60,84,9,33,1.03,140
2019-10-03,良,57,191,36,54,6,22,0.77,108
2019-10-04,良,51,208,28,45,6,25,0.72,92
2019-10-05,良,70,341,38,61,8,39,0.79,100
2019-10-06,优,45,274,25,45,8,34,0.66,73
2019-10-07,优,40,183,24,41,6,40,0.71,48
2019-10-08,良,67,331,48,70,8,42,0.93,66
2019-10-09,良,67,314,47,68,7,41,0.93,85
2019-10-10,良,73,332,42,71,7,50,0.93,101
2019-10-11,良,71,298,39,68,9,50,0.88,99
2019-10-12,良,84,352,52,87,10,57,0.97,108
2019-10-13,优,50,203,35,51,6,33,0.91,72
2019-10-14,良,53,281,37,51,6,26,1.01,69
2019-10-15,优,46,259,32,45,6,27,0.91,70
2019-10-16,优,45,192,29,45,7,32,0.75,73
2019-10-17,优,48,164,29,49,7,33,0.71,83
2019-10-18,良,52,172,30,53,10,37,0.71,91
2019-10-19,良,63,191,37,65,10,42,0.76,102
2019-10-20,良,70,198,41,75,9,58,0.81,88
2019-10-21,良,82,284,49,92,10,62,0.90,98
2019-10-22,良,76,246,39,73,8,45,0.76,126
2019-10-23,良,77,248,38,74,9,48,0.75,122
2019-10-24,良,65,233,47,73,8,38,0.80,84
2019-10-25,良,76,317,47,74,8,43,0.79,105
2019-10-26,良,66,323,45,82,9,49,0.85,52
2019-10-27,良,56,191,38,62,7,37,0.86,79
2019-10-28,优,43,117,25,48,9,45,0.96,22
2019-10-29,优,37,90,17,38,6,35,0.73,63
2019-10-30,良,62,130,32,74,7,43,0.66,71
2019-10-31,良,77,193,43,103,9,50,0.67,61
2019-10-31,良,77,193,43,103,9,50,0.67,61
2019-11-01,良,85,234,54,114,10,74,0.93,67
2019-11-02,良,92,272,54,115,9,79,1.03,85
2019-11-03,良,74,267,49,99,12,49,0.85,91
2019-11-04,良,72,256,48,90,10,28,0.75,138
2019-11-05,良,70,215,49,89,10,35,0.75,128
2019-11-06,良,67,195,43,79,9,54,0.75,95
2019-11-07,良,62,186,41,73,10,43,0.73,95
2019-11-08,良,54,129,34,59,8,35,0.66,100
2019-11-09,良,59,122,39,68,8,45,0.68,95
2019-11-10,良,73,191,50,91,10,71,0.86,72
2019-11-11,良,88,306,58,111,12,82,0.98,81
2019-11-12,良,63,162,37,75,8,63,0.73,72
2019-11-13,良,74,278,45,90,10,60,0.81,79
2019-11-14,良,59,198,39,67,7,35,0.70,93
2019-11-15,良,96,333,67,125,11,85,0.95,85
2019-11-16,良,80,232,47,101,7,70,0.75,85
2019-11-17,良,73,170,37,81,8,64,0.72,78
2019-11-18,良,69,202,40,89,8,58,0.93,52
2019-11-19,优,39,81,20,39,7,30,0.71,71
2019-11-20,良,56,125,30,63,9,43,0.70,72
2019-11-21,良,66,190,39,82,11,66,0.78,67
2019-11-22,良,72,220,44,95,11,83,0.89,55
2019-11-23,良,91,285,61,126,10,113,1.13,63
2019-11-24,良,84,278,49,98,8,83,1.03,72
2019-11-25,良,80,339,56,109,11,67,1.02,63
2019-11-26,良,63,261,42,74,9,49,0.99,59
2019-11-27,良,66,267,42,79,11,53,0.91,63
2019-11-28,优,36,127,15,36,8,30,0.80,27
2019-11-29,优,41,101,22,41,6,36,0.76,45
2019-11-30,良,53,156,31,58,8,50,0.86,40
2019-12-01,良,65,254,39,80,13,56,0.96,44
2019-12-02,优,41,123,21,41,8,25,0.73,52
2019-12-03,良,52,132,31,56,9,32,0.59,81
2019-12-04,良,54,121,32,60,10,39,0.60,73
2019-12-05,良,51,135,26,53,10,35,0.50,69
2019-12-06,良,53,148,28,58,10,30,0.50,87
2019-12-07,优,50,70,31,53,10,35,0.56,83
2019-12-08,良,54,74,31,60,9,47,0.62,67
2019-12-09,良,69,118,44,87,11,81,0.84,31
2019-12-10,良,83,165,57,115,13,97,1.01,36
2019-12-11,良,91,201,64,129,13,105,1.20,36
2019-12-12,良,88,238,62,123,11,105,1.04,49
2019-12-13,良,93,224,64,136,11,112,1.17,54
2019-12-14,轻度污染,105,255,76,154,12,122,1.33,60
2019-12-15,良,79,226,52,108,10,89,0.94,46
2019-12-16,良,62,158,30,74,9,77,0.84,28
2019-12-17,良,68,201,36,86,9,92,1.06,16
2019-12-18,良,76,307,46,102,10,84,1.09,45
2019-12-19,良,74,275,52,87,9,49,1.27,9
2019-12-20,优,41,99,22,41,7,40,1.28,25
2019-12-21,优,50,131,27,56,7,57,1.09,16
2019-12-22,良,64,175,38,80,11,55,1.18,13
2019-12-23,良,66,170,42,82,10,60,1.10,30
2019-12-24,良,59,156,31,67,7,71,1.05,12
2019-12-25,良,65,191,40,80,8,67,1.10,31
2019-12-26,良,62,220,41,80,6,60,1.20,20
2019-12-27,优,38,48,19,40,6,36,0.95,42
2019-12-28,良,66,111,46,82,8,69,1.03,52
2019-12-29,良,93,226,67,135,12,104,1.28,35
2019-12-30,良,94,250,69,135,11,104,1.32,47
2019-12-31,良,64,251,42,76,10,50,1.04,46
2023-02-01,轻度污染,139,286,66,192,16,41,0.89,56
2023-02-02,优,42,77,18,44,12,21,0.58,62
2023-02-03,良,66,196,37,82,14,35,0.67,42
2023-02-04,轻度污染,109,275,82,140,23,49,0.98,53
2023-02-05,轻度污染,134,273,101,156,21,45,0.92,73
2023-02-06,轻度污染,124,244,94,138,18,39,0.97,65
2023-02-07,轻度污染,112,244,85,129,15,45,1.01,64
2023-02-08,中度污染,164,308,124,175,12,49,1.13,45
2023-02-09,优,49,159,30,50,9,32,0.65,57
2023-02-10,良,73,221,53,71,11,35,0.77,49
2023-02-11,优,47,143,33,47,10,27,0.56,69
2023-02-12,优,39,131,27,33,8,24,0.72,82
2023-02-13,优,49,215,30,47,11,21,0.63,72
2023-02-14,优,46,204,26,49,20,31,0.74,59
2023-02-15,优,47,148,24,50,14,29,0.58,60
2023-02-16,良,76,206,55,90,16,43,0.77,61
2023-02-17,良,86,201,64,97,14,39,0.72,73
2023-02-18,轻度污染,110,257,82,125,20,45,0.84,51
2023-02-19,良,71,227,45,85,16,34,0.67,70
2023-02-20,良,80,248,52,109,22,47,0.79,57
2023-02-21,优,44,95,15,45,11,22,0.55,67
2023-02-22,良,55,177,26,59,17,31,0.57,57
2023-02-23,良,65,174,44,80,12,41,0.67,42
2023-02-24,良,96,292,71,109,16,39,0.79,60
2023-02-25,良,52,143,26,57,13,30,0.63,74
2023-02-26,良,82,245,60,107,19,54,0.86,61
2023-02-27,良,86,242,63,103,14,47,0.79,81
2023-02-28,轻度污染,113,293,85,130,14,59,0.94,61
2023-03-01,轻度污染,107,274,73,131,12,50,0.93,74
2023-03-01,轻度污染,107,272,73,131,12,50,0.93,74
2023-03-02,良,71,178,30,93,12,34,0.70,75
2023-03-03,良,84,236,58,117,15,47,0.84,86
2023-03-04,轻度污染,114,300,85,158,16,58,0.93,82
2023-03-05,轻度污染,149,324,111,188,17,55,1.02,101
2023-03-06,轻度污染,115,302,83,149,15,46,0.88,113
2023-03-07,良,86,247,61,122,15,52,0.87,89
2023-03-08,轻度污染,104,294,66,151,15,39,0.83,94
2023-03-09,轻度污染,117,319,73,181,16,48,0.83,95
2023-03-10,良,85,245,52,113,12,34,0.78,103
2023-03-11,轻度污染,110,251,48,169,15,41,0.75,86
2023-03-12,良,79,216,14,107,8,21,0.48,76
2023-03-13,良,79,231,20,108,10,31,0.52,72
2023-03-14,良,77,215,31,105,13,30,0.64,93
2023-03-15,重度污染,214,329,39,313,10,27,0.57,69
2023-03-16,良,77,242,14,104,11,21,0.58,70
2023-03-17,优,46,190,22,47,8,22,0.58,68
2023-03-18,良,68,263,47,84,14,32,0.66,64
2023-03-19,良,88,296,64,112,14,40,0.71,73
2023-03-20,良,89,269,66,113,17,35,0.74,82
2023-03-21,良,95,233,70,111,15,29,0.75,71
2023-03-22,轻度污染,108,208,81,115,11,37,0.95,43
2023-03-23,严重污染,363,304,128,750,12,27,0.65,66
2023-03-24,轻度污染,108,262,34,166,13,26,0.52,72
2023-03-25,轻度污染,101,304,43,152,19,43,0.72,51
2023-03-26,轻度污染,133,332,72,216,21,43,0.79,68
2023-03-27,轻度污染,116,328,64,183,14,38,0.70,88
2023-03-28,轻度污染,110,319,67,171,15,43,0.79,103
2023-03-29,良,84,281,50,117,15,36,0.63,103
2023-03-30,良,80,282,49,110,15,38,0.60,106
2023-03-31,良,82,293,53,110,16,34,0.60,107
2023-04-01,良,64,208,37,79,18,28,0.55,110
2023-04-02,良,65,208,32,80,19,28,0.51,111
2023-04-03,良,54,244,27,59,11,18,0.43,111
2023-04-04,优,28,80,16,20,9,18,0.46,68
2023-04-05,优,29,79,19,28,9,19,0.50,72
2023-04-06,良,57,193,39,59,12,31,0.63,49
2023-04-07,良,52,168,22,56,12,24,0.47,78
2023-04-08,良,62,190,29,73,12,32,0.53,83
2023-04-09,良,72,213,38,94,14,28,0.55,111
2023-04-10,良,75,207,39,99,15,29,0.55,120
2023-04-11,严重污染,339,285,136,775,12,31,0.48,71
2023-04-12,严重污染,401,300,105,509,10,24,0.38,71
2023-04-13,轻度污染,131,250,59,211,13,32,0.48,85
2023-04-14,良,69,170,45,85,9,23,0.55,97
2023-04-15,中度污染,167,298,58,248,12,31,0.57,73
2023-04-16,良,69,165,27,89,12,27,0.39,81
2023-04-17,良,82,250,40,115,14,24,0.50,117
2023-04-18,良,95,283,52,140,14,31,0.72,121
2023-04-19,良,71,216,28,92,10,21,0.52,112
2023-04-20,良,92,231,55,118,9,22,0.55,89
2023-04-21,良,76,277,20,101,8,21,0.30,83
2023-04-22,良,55,242,21,60,9,26,0.36,68
2023-04-23,优,44,220,23,45,6,18,0.36,83
2023-04-24,优,43,235,18,44,8,19,0.33,99
2023-04-25,良,57,284,33,65,8,28,0.45,69
2023-04-26,良,61,275,36,72,10,28,0.53,95
2023-04-27,良,63,257,41,75,9,22,0.48,126
2023-04-28,良,70,254,47,84,13,28,0.57,97
2023-04-29,良,92,269,29,128,9,19,0.30,89
2023-04-30,良,86,285,39,122,11,28,0.40,97
2023-05-01,良,82,294,46,114,12,28,0.42,121
2023-05-02,良,75,281,39,97,13,24,0.43,140
2023-05-03,优,48,199,28,51,12,22,0.51,77
2023-05-04,优,24,50,15,19,8,18,0.63,51
2023-05-05,优,33,161,21,31,8,18,0.49,49
2023-05-06,良,57,319,14,66,10,18,0.32,107
2023-05-07,优,48,293,15,46,12,20,0.35,120
2023-05-08,优,47,231,15,44,12,27,0.34,101
2023-05-09,良,55,284,23,57,12,33,0.39,103
2023-05-10,良,62,309,31,75,15,41,0.47,90
2023-05-11,良,60,269,28,63,14,32,0.52,103
2023-05-12,良,62,266,29,63,12,27,0.46,120
2023-05-13,良,68,295,36,75,14,23,0.50,132
2023-05-14,良,71,262,37,91,14,32,0.54,113
2023-05-15,良,67,236,34,75,11,17,0.48,138
2023-05-16,良,66,237,36,80,14,21,0.51,133
2023-05-17,良,60,280,34,65,12,21,0.50,121
2023-05-18,优,40,137,18,37,9,15,0.39,105
2023-05-19,优,40,107,15,38,10,15,0.32,105
2023-05-20,良,64,205,27,61,10,20,0.44,139
2023-05-21,轻度污染,148,314,58,235,10,21,0.40,94
2023-05-22,良,71,286,31,91,9,20,0.36,95
2023-05-23,良,74,300,30,84,12,34,0.40,110
2023-05-24,优,49,186,20,48,9,20,0.29,119
2023-05-25,良,55,233,28,60,10,26,0.40,111
2023-05-26,良,63,280,42,75,14,25,0.52,121
2023-05-27,良,60,314,39,64,10,19,0.53,70
2023-05-28,优,33,151,23,28,8,21,0.75,50
2023-05-29,优,34,139,21,31,8,17,0.48,57
2023-05-30,良,56,283,38,59,10,21,0.61,78
2023-05-31,良,69,320,35,65,12,22,0.60,118
2023-06-01,良,58,0,32,63,9,21,0.50,111
2023-06-02,良,76,0,35,102,12,36,0.58,96
2023-06-03,良,56,0,19,57,13,27,0.41,116
2023-06-04,优,45,0,25,47,11,25,0.44,92
2023-06-05,优,46,0,24,46,11,18,0.39,106
2023-06-06,良,61,0,27,68,10,21,0.45,110
2023-06-07,良,65,0,19,80,10,18,0.40,131
2023-06-08,良,61,0,18,69,10,24,0.39,112
2023-06-09,良,85,0,23,94,14,31,0.46,154
2023-06-10,良,86,0,26,87,16,22,0.54,178
2023-06-11,良,78,0,23,63,13,23,0.42,150
2023-06-12,良,57,0,17,32,11,18,0.40,152
2023-06-13,良,71,0,26,57,13,29,0.49,137
2023-06-14,良,76,0,24,54,13,27,0.47,148
2023-06-15,良,86,0,27,66,14,25,0.47,176
2023-06-16,良,81,0,35,81,17,29,0.56,141
2023-06-17,良,61,0,40,71,13,23,0.55,114
2023-06-18,优,26,0,7,13,8,12,0.30,81
2023-06-19,优,24,0,12,17,9,14,0.42,76
2023-06-20,良,57,0,26,42,9,18,0.54,118
2023-06-21,良,82,0,36,65,11,26,0.59,155
2023-06-22,良,84,0,28,60,12,30,0.58,165
2023-06-23,良,78,0,29,57,11,26,0.53,158
2023-06-24,良,77,0,30,61,10,23,0.49,154
2023-06-25,优,26,0,7,15,8,14,0.41,81
2023-06-26,优,29,0,14,22,7,14,0.40,87
2023-06-27,良,63,0,22,43,9,22,0.48,127
2023-06-28,优,44,0,20,44,9,23,0.47,90
2023-06-29,优,36,0,20,30,8,16,0.49,95
2023-06-30,良,65,0,30,52,11,26,0.56,119
2023-07-01,良,60,0,29,51,9,22,0.49,131
2023-07-02,良,56,0,37,57,9,22,0.52,91
2023-07-03,优,40,0,25,33,8,19,0.47,71
2023-07-04,优,35,0,14,28,8,15,0.56,99
2023-07-05,良,54,0,16,53,11,19,0.46,128
2023-07-06,优,44,0,16,43,10,23,0.40,103
2023-07-07,优,36,0,12,27,9,17,0.40,104
2023-07-08,良,62,0,26,51,9,18,0.47,124
2023-07-09,良,63,0,24,55,9,22,0.48,133
2023-07-10,优,43,0,18,39,8,18,0.43,105
2023-07-11,优,30,0,8,18,7,16,0.38,94
2023-07-12,优,36,0,19,31,8,19,0.45,65
2023-07-13,优,31,0,15,21,7,12,0.48,90
2023-07-14,良,51,0,28,53,9,15,0.59,103
2023-07-15,良,63,0,20,64,12,21,0.50,120
2023-07-16,良,64,0,16,44,11,22,0.45,136
2023-07-17,良,53,0,16,43,11,19,0.49,125
2023-07-18,优,40,0,20,37,8,14,0.47,101
2023-07-19,优,38,0,17,35,10,18,0.40,80
2023-07-20,优,40,0,25,41,8,16,0.36,69
2023-07-21,优,28,0,14,27,8,14,0.32,68
2023-07-22,优,35,0,16,26,8,13,0.40,103
2023-07-23,优,46,0,20,43,9,21,0.48,95
2023-07-24,优,46,0,20,43,9,19,0.55,114
2023-07-25,良,53,0,25,45,9,17,0.50,126
2023-07-26,优,36,0,14,27,9,15,0.40,112
