id,充电站名称,地址,省,市,区,纬度,经度
164,特斯拉目的地充电站(重庆海洋公园),重庆市江北区观音桥北城天街13号海洋公园,重庆市,重庆市,江北区,29.588104,106.542086
165,驿满电动汽车充电站(福佑路站),重庆市江北区福佑路公交站场内,重庆市,重庆市,江北区,29.599621,106.482885
166,五里店紫微星超级充电站,重庆市江北区五里店街道雨花社区勤俭二村停车场2层,重庆市,重庆市,江北区,29.584428,106.555205
167,特来电充电站(曙光工业园C区),重庆市江北区港安二路48号曙光工业园C区,重庆市,重庆市,江北区,29.631928,106.611741
168,星星充电汽车充电站(公共机构),寸滩街道重庆市江北区人民政府,重庆市,重庆市,江北区,29.612437,106.581276
169,开迈斯充电站(重庆市龙湖络绎站(直流)),重庆市江北区建北六支路12号地下B2层停车场B071~B078车位,重庆市,重庆市,江北区,29.58513,106.53482
170,特斯拉超级充电站(重庆东原新新PA...,重庆市江北区红盛路37号东原悦荟新新Park购物中心B3层B区A16~A20排,重庆市,重庆市,江北区,29.57642,106.503861
171,星星充电站(长安汽车鱼嘴发动机厂),重庆市江北区两江新区鱼嘴镇长安大道107号,重庆市,重庆市,江北区,29.63402,106.748308
172,国家电网充电站(重庆电动汽车服务有...,重庆市南岸区茶花路29号,重庆市,重庆市,南岸区,29.474534,106.635751
173,国家电网充电站(南岸区),重庆市南岸区南湖路11-1号,重庆市,重庆市,南岸区,29.527197,106.577293
174,特来电充电站(重庆南岸区康德国会山...,重庆市南岸区辅仁路8号,重庆市,重庆市,南岸区,29.53472,106.584104
175,国家电网充电站(重庆市南岸区长江国际站),重庆市南岸区南滨路22号长江国际地下停车库,重庆市,重庆市,南岸区,29.545807,106.572657
176,国家电网充电站(重庆市南岸区南湖公...,重庆市巴南区排白路南湖公租房南区充电站,重庆市,重庆市,南岸区,29.337238,106.654582
177,国家电网充电站(南岸区金台大厦),重庆市南岸区南坪西路23号,重庆市,重庆市,南岸区,29.534115,106.570723
178,国家电网充电站(重庆市南岸区上海城...,重庆市南岸区上海城商业中心充电站,重庆市,重庆市,南岸区,29.53526,106.566567
179,国网重庆市南岸区人人车充电站,重庆市南岸区白鹤路104号,重庆市,重庆市,南岸区,29.520889,106.563517
180,万马爱充充电站(南岸茶园公交),重庆市南岸区茶园公交换乘枢纽站内,重庆市,重庆市,南岸区,29.518897,106.66163
181,国家电网充电站(重庆市南岸区协信星...,重庆市南岸区南坪南路20号,重庆市,重庆市,南岸区,29.529127,106.577414
