id,充电站名称,地址,省,市,区,纬度,经度
402,国家电网充电站(巴南区东泉中心卫生院站),重庆市巴南区东温泉镇金竹街141号,重庆市,重庆市,巴南区,29.461645,106.869967
403,国家电网充电站(重庆市巴南区木洞镇...,重庆市巴南区木洞镇黄金大道尚盟重庆时装产业园内,重庆市,重庆市,巴南区,29.560307,106.812669
404,国家电网充电站(巴南区一品镇政府站),重庆市巴南区一品镇政府,重庆市,重庆市,巴南区,29.291737,106.57235
405,国家电网充电站(重庆市巴南区IBG...,重庆市巴南区龙洲大道新成佳苑-B区东侧约70米,重庆市,重庆市,巴南区,29.425778,106.54384
406,速电通充电站(华南城站),重庆市巴南区华南城会展中心,重庆市,重庆市,巴南区,29.34554,106.621582
407,渝快充巴南箭河路充电站,重庆市巴南区化龙路359-4号,重庆市,重庆市,巴南区,29.383539,106.524129
408,国家电网充电站(重庆市巴南区界石镇...,重庆市巴南区界石镇五星村光合顶66号重庆高速南方运营分公司办公大楼停车场,重庆市,重庆市,巴南区,29.371244,106.627571
409,万马爱充充电站(中核普科特汽车站(...,重庆市巴南区东城大道8号,重庆市,重庆市,巴南区,29.356896,106.615316
410,国家电网充电站(巴南区巴文化公园三...,重庆市巴南区龙洲大道新成佳苑-B区东侧约100米,重庆市,重庆市,巴南区,29.425613,106.544333
411,智道充电(华南城充电站),重庆市巴南区玉华路华南城会展中心,重庆市,重庆市,巴南区,29.345474,106.621079
412,特来电充电站(重庆巴南宗申动力城站),重庆市巴南区渝南大道130号宗申动力城商业街地面停车场,重庆市,重庆市,巴南区,29.435495,106.553251
413,国家电网充电站(重庆市巴南区南彭街...,重庆市巴南区南彭街道办事处附近,重庆市,重庆市,巴南区,29.349824,106.660916
414,国家电网充电站(巴南区天星寺人民政府),重庆市巴南区天星街天星寺人民政府充电站,重庆市,重庆市,巴南区,29.354619,106.772237
415,特来电充电站(特来电站重庆巴南协信...,重庆市巴南区重庆市巴南区东城大道399号,重庆市,重庆市,巴南区,29.35225,106.616346
416,国家电网充电站(重庆巴南木洞公交站),重庆市巴南区南涪路三峭湾木洞公交枢纽,重庆市,重庆市,巴南区,29.573244,106.861536
417,渝快充(城南未来充电站),重庆市巴南区渝南大道城南未来-2期,重庆市,重庆市,巴南区,29.402542,106.549215
418,中科智充柔性智能充电站,重庆市巴南区金鹿大道重庆树人立德小学,重庆市,重庆市,巴南区,29.467979,106.626582
419,星星充电站(重庆巴南木洞服务区),重庆市巴南区木洞收费站木洞镇南涪路木洞收费站,重庆市,重庆市,巴南区,29.594835,106.889956
420,普科特电动汽车充电站(华南城站),重庆市巴南区东城大道南段重庆理工职业学院西南侧约190米,重庆市,重庆市,巴南区,29.356809,106.615396
421,国家电网充电站(重庆市南岸区鹿角供...,重庆市巴南区迎宾路306-1号,重庆市,重庆市,巴南区,29.448363,106.622828
422,电动车集中充电处,重庆市巴南区万泉街重庆大江技工学校南侧约190米,重庆市,重庆市,巴南区,29.389394,106.514001
423,国家电网充电站(内环高速南泉服务区...,重庆市巴南区内环高速南泉服务区(虎啸内方向),重庆市,重庆市,巴南区,29.418462,106.604357
